clientid,region,branch,client_gender,income,vehicle_production_year,vehicle_initial_assessment_value,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_initial_amount,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,client_type,ratio
128,region 6,branch 5,male,864,1998,4800,43.0,0,0,leaseback,72,2880,0.6,35.1590685119401,3.374,default,0.208333333333333
129,region 2,branch 2,male,1440,1995,6720,38.0,0,0,leaseback,90,4320,0.642857142857143,36.1990726116775,3.374,default,0.2
130,region 6,branch 2,male,1440,2001,19200,33.0,0,0,leaseback,54,12000,0.625,37.2267584147404,3.374,default,0.194444444444444
131,region 6,branch 5,male,1440,1998,4800,57.0,0,0,leasing,54,3840,0.8,38.3288774819241,3.374,default,0.194444444444444
132,region 6,branch 3,male,1920,2007,9120,53.0,0,0,leaseback,108,7680,0.842105263157895,36.9168282123278,3.374,default,0.194444444444444
133,region 6,branch 2,female,720,1999,9120,30.0,0,0,leaseback,54,5280,0.578947368421053,35.1696797957499,3.374,default,0.166666666666667
134,region 6,branch 5,male,809,2000,5280,36.0,1,0,leaseback,54,4320,0.818181818181818,27.8177781039846,2.5305,default,0.166666666666667
135,region 9,branch 4,male,1200,2000,8160,71.0,0,0,leaseback,90,4080,0.5,35.1002755783314,3.374,default,0.166666666666667
136,region 6,branch 5,male,960,2000,5760,30.0,0,0,leaseback,54,4320,0.75,36.6175138762217,3.374,default,0.166666666666667
137,region 7,branch 7,male,960,2000,11040,30.0,0,0,leasing,54,8640,0.782608695652174,37.8874972962578,3.374,default,0.166666666666667
138,region 7,branch 7,male,1200,1996,6480,38.0,0,0,leasing,54,5760,0.888888888888889,36.8819061115596,3.374,default,0.166666666666667
139,region 6,branch 3,male,720,2003,7680,32.0,0,0,leasing,90,6240,0.8125,36.1579113174535,3.374,default,0.166666666666667
140,region 6,branch 3,female,2880,2004,13440,40.0,0,0,leaseback,90,11040,0.821428571428571,35.7450752302472,3.374,default,0.166666666666667
141,region 6,branch 2,male,5760,2006,7200,30.0,0,0,leaseback,36,3840,0.533333333333333,36.5613165929188,3.374,default,0.166666666666667
142,region 6,branch 5,male,0,1999,9120,35.0,0,0,leaseback,36,4800,0.526315789473684,37.0612637903889,3.374,default,0.166666666666667
143,region 5,branch 2,male,0,2004,6720,40.0,0,0,leasing,36,5280,0.785714285714286,35.6658575271606,3.374,default,0.166666666666667
144,region 6,branch 6,female,0,1997,9120,60.0,0,0,leaseback,27,1920,0.210526315789474,37.6251102150575,3.374,default,0.166666666666667
145,region 3,branch 3,female,720,1999,7200,42.0,0,0,leaseback,54,5760,0.8,35.1576824235857,3.374,default,0.166666666666667
146,region 10,branch 3,male,960,2003,5187,26.0,0,0,leasing,54,3840,0.740253749732236,36.2300713123331,3.374,default,0.166666666666667
147,region 3,branch 3,male,960,2004,8640,57.0,0,0,leasing,54,5760,0.666666666666667,35.4561094672899,3.374,default,0.166666666666667
148,Unknown,branch 6,male,5760,2012,16800,36.0,0,0,leaseback,54,13440,0.8,37.2195617595228,3.374,default,0.166666666666667
149,region 9,branch 4,male,1440,2011,18480,39.0,0,0,leaseback,90,2400,0.12987012987013,35.7824568012134,3.374,default,0.15
150,region 8,branch 6,male,1920,1999,5760,29.0,0,0,leasing,126,4560,0.791666666666667,36.5549611417611,3.374,default,0.142857142857143
151,region 7,branch 6,female,312,2000,12720,37.0,0,0,leasing,126,10080,0.792452830188679,35.7104708672845,3.374,default,0.142857142857143
152,region 6,branch 5,female,720,2005,5280,27.0,0,0,leaseback,54,2400,0.454545454545455,36.4553124221322,3.374,default,0.138888888888889
153,region 7,branch 7,male,797,1994,3360,41.0,0,0,leaseback,54,1680,0.5,36.3909130953071,3.374,default,0.138888888888889
154,region 2,branch 5,male,3840,2003,11040,39.0,0,0,leaseback,54,8832,0.8,32.7437475521849,2.6710832771,default,0.138888888888889
155,region 6,branch 5,male,0,1999,6720,58.0,0,0,leaseback,54,5280,0.785714285714286,36.9985209996953,3.374,default,0.138888888888889
156,region 5,branch 5,male,960,2003,9120,24.0,1,0,leasing,54,7200,0.789473684210526,36.0333158212662,3.374,default,0.138888888888889
157,region 8,branch 2,female,1200,2007,12480,42.0,0,0,leaseback,90,9984,0.8,34.238390857275,3.374,default,0.133333333333333
158,region 6,branch 3,male,1200,2000,7200,24.0,0,0,leaseback,90,5760,0.8,35.3509625879804,3.374,default,0.133333333333333
159,Unknown,branch 3,male,0,2007,11520,36.0,0,0,leaseback,90,7200,0.625,35.3315199893598,3.374,default,0.133333333333333
160,Unknown,branch 3,male,221,2000,11040,30.0,1,0,leaseback,90,8640,0.782608695652174,35.8335504394268,3.374,default,0.133333333333333
161,Unknown,branch 2,female,0,2004,14400,55.0,0,0,leaseback,90,11040,0.766666666666667,36.3437261265448,3.374,default,0.133333333333333
162,region 3,branch 5,male,1536,1998,5760,30.0,0,0,leaseback,72,3840,0.666666666666667,35.8509665861772,3.374,default,0.125
163,region 6,branch 5,female,1200,1999,9600,62.0,1,0,leaseback,72,8640,0.9,28.7589784490107,2.5305,default,0.125
164,region 6,branch 5,male,960,2007,10560,59.0,0,0,leaseback,72,6720,0.636363636363636,35.2805455827078,3.374,default,0.125
165,region 6,branch 3,male,1200,1999,8640,46.0,1,0,leasing,72,5280,0.611111111111111,36.4831811468773,3.374,default,0.125
166,region 6,branch 3,female,1440,2004,8160,61.0,0,0,leaseback,72,7200,0.882352941176471,36.1094925778097,3.374,default,0.125
167,region 5,branch 3,male,624,2000,6720,30.0,0,0,leaseback,108,5280,0.785714285714286,35.559713020032,3.374,default,0.125
168,region 6,branch 5,male,960,2011,13920,30.0,1,0,leaseback,36,9600,0.689655172413793,38.2203518569218,3.374,default,0.125
169,region 7,branch 7,male,720,2004,3456,54.0,0,0,leaseback,36,1920,0.555555555555556,35.8757628970907,3.374,default,0.125
170,Unknown,branch 2,male,0,2006,6240,38.0,0,0,leaseback,36,4800,0.769230769230769,34.4819388669443,3.374,default,0.125
171,region 9,branch 4,male,720,2011,43200,51.0,1,1,leaseback,90,24000,0.555555555555556,32.8214899129852,2.6710832771,default,0.116666666666667
172,region 6,branch 6,male,14400,2010,19200,31.0,0,0,leaseback,90,14400,0.75,35.9559381012733,3.374,default,0.116666666666667
173,Unknown,branch 3,male,0,2001,14400,30.0,1,0,leaseback,90,11520,0.8,35.1570830055779,3.374,default,0.116666666666667
174,region 6,branch 5,male,864,2007,12000,27.0,0,1,leaseback,54,4800,0.4,32.2933228393497,2.6710832771,default,0.111111111111111
175,region 6,branch 6,male,2400,2007,20640,33.0,0,0,leaseback,54,14400,0.697674418604651,35.9792196505868,3.374,default,0.111111111111111
176,region 5,branch 5,male,720,1998,5280,28.0,0,0,leaseback,54,4224,0.8,37.0364726738832,3.374,default,0.111111111111111
177,region 2,branch 5,female,960,1998,9600,68.0,0,0,leaseback,54,4800,0.5,35.1840973008145,3.374,default,0.111111111111111
178,region 5,branch 5,male,960,1998,7680,46.0,0,0,leaseback,72,5760,0.75,35.2138954707742,3.374,default,0.104166666666667
179,region 6,branch 5,male,0,1998,8160,52.0,0,0,leaseback,72,6480,0.794117647058823,35.9506265300634,3.374,default,0.104166666666667
180,region 3,branch 6,male,720,1999,7200,24.0,0,0,leasing,90,4800,0.666666666666667,35.5903750091031,3.374,default,0.1
181,region 6,branch 2,male,1680,2000,6720,51.0,0,0,leaseback,54,5280,0.785714285714286,34.9720170344292,3.374,default,0.0833333333333333
182,region 5,branch 6,male,2400,1999,5280,34.0,0,0,leaseback,72,4080,0.772727272727273,34.8499459036349,3.374,default,0.0833333333333333
183,region 6,branch 5,male,0,2004,7200,26.0,0,0,leaseback,72,5760,0.8,36.4727993486503,3.374,default,0.0833333333333333
184,region 6,branch 3,female,830,2001,10368,37.0,0,0,leaseback,108,8160,0.787037037037037,36.1400316902164,3.374,default,0.0833333333333333
185,region 10,branch 1,male,499,1996,6720,24.0,0,0,leaseback,126,1680,0.25,36.3488780923794,3.374,default,0.0714285714285714
186,region 6,branch 5,male,720,2005,7680,29.0,0,0,leaseback,90,4080,0.53125,36.6623352703847,3.374,default,0.0666666666666667
187,region 6,branch 5,male,0,2005,25440,24.0,1,1,leaseback,72,10560,0.415094339622642,28.4992296312798,2.5305,default,0.0625
188,region 9,branch 4,male,0,2003,8160,43.0,0,0,leaseback,72,4800,0.588235294117647,36.2395845663557,3.374,default,0.0625
189,region 7,branch 7,male,1200,1994,2880,46.0,0,0,leaseback,54,1680,0.583333333333333,36.6996959736254,3.374,default,0.0555555555555556
190,region 9,branch 4,male,480,1996,5280,24.0,0,0,leaseback,27,1680,0.318181818181818,35.9832731732632,3.374,default,0.0555555555555556
191,region 6,branch 6,male,1440,2010,13440,30.0,1,0,leaseback,90,9600,0.714285714285714,28.8188350614209,2.5305,default,0.05
192,region 2,branch 5,male,1200,1999,4800,29.0,0,0,leaseback,90,2880,0.6,36.4933428689953,3.374,default,0.05
193,region 5,branch 5,male,0,2006,13440,54.0,0,0,leasing,90,9600,0.714285714285714,36.2007028722845,3.374,default,0.05
194,region 3,branch 6,female,0,2014,57600,32.0,0,0,leaseback,126,13440,0.233333333333333,35.9562650287522,3.374,default,0.0476190476190476
195,region 5,branch 5,male,3840,2008,19200,48.0,0,0,leaseback,108,15360,0.8,36.040524378444,3.374,default,0.0416666666666667
196,region 8,branch 5,male,720,1995,7200,34.0,0,0,leaseback,36,2400,0.333333333333333,38.2784397427433,3.374,default,0.0416666666666667
197,region 6,branch 6,male,1680,2006,9120,36.0,0,1,leaseback,90,7200,0.789473684210526,36.5236945210267,3.374,default,0.0333333333333333
198,region 9,branch 4,male,960,1995,6240,43.0,0,0,leasing,108,4800,0.769230769230769,36.9597020859508,3.374,default,0.0277777777777778
199,region 10,branch 1,male,2880,1999,3360,48.0,1,0,leaseback,54,2400,0.714285714285714,28.5420215209046,2.5305,default,0.0277777777777778
200,region 3,branch 5,male,0,1999,5280,33.0,0,0,leaseback,54,2880,0.545454545454545,35.6899187597564,3.374,default,0.0277777777777778
