client_gender,vehicle_production_year,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,region_region 1,region_region 10,region_region 11,region_region 12,region_region 2,region_region 3,region_region 4,region_region 5,region_region 6,region_region 7,region_region 8,region_region 9,branch_branch 2,branch_branch 3,branch_branch 4,branch_branch 5,branch_branch 6,branch_branch 7,default_status,log_income,log_vehical_value,log_loan_amount
1,2005,41.0,0,0,0,54,0.722222222222222,36.0499755483871,3.374,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,7.783224016336037,9.064157861798101,8.738735461363474
1,2002,35.0,0,0,0,72,0.791666666666667,36.4307250859846,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7.090076835776092,9.351839934249883,9.118225083068378
1,2004,23.0,0,0,0,90,0.588235294117647,36.7940609697208,3.374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,6.866933284461882,9.006999447958153,8.476371196895983
0,2004,26.0,0,0,0,36,0.714285714285714,37.2011148953622,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.090076835776092,8.812843433517195,8.476371196895983
0,2007,41.0,0,0,0,36,0.3,38.9804018326918,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.866933284461882,10.085809109330082,8.881836305004146
1,2003,29.0,1,0,0,54,0.8,35.8785753448643,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7.090076835776092,8.738735461363474,8.515591910049263
1,2015,58.0,1,0,0,36,0.446153846153846,27.5502111913462,2.5305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7.965545573129992,10.348173373797573,9.54108193388841
1,1996,27.0,0,0,0,54,0.384615384615385,36.868270867112,3.374,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6.915723448631314,8.738735461363474,7.783224016336037
1,2000,37.0,0,0,1,108,0.85,35.256481860393,3.374,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.866933284461882,9.169518377455928,9.006999447958153
1,1998,41.0,0,0,0,54,0.277777777777778,35.8444268849852,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,9.064157861798101,7.783224016336037
